,importance,stddev,p_value,n,p99_high,p99_low
dns_an_123,0.0,0.0,0.5,5,0.0,0.0
dns_an_122,0.0,0.0,0.5,5,0.0,0.0
dns_an_121,0.0,0.0,0.5,5,0.0,0.0
dns_an_120,0.0,0.0,0.5,5,0.0,0.0
dns_an_119,0.0,0.0,0.5,5,0.0,0.0
dns_an_118,0.0,0.0,0.5,5,0.0,0.0
dns_an_29,0.0,0.0,0.5,5,0.0,0.0
dns_an_31,0.0,0.0,0.5,5,0.0,0.0
dns_qd_741,0.0,0.0,0.5,5,0.0,0.0
dns_an_107,0.0,0.0,0.5,5,0.0,0.0
dns_an_96,0.0,0.0,0.5,5,0.0,0.0
dns_an_68,0.0,0.0,0.5,5,0.0,0.0
dns_an_69,0.0,0.0,0.5,5,0.0,0.0
dns_an_70,0.0,0.0,0.5,5,0.0,0.0
dns_an_71,0.0,0.0,0.5,5,0.0,0.0
dns_an_72,0.0,0.0,0.5,5,0.0,0.0
dns_an_95,0.0,0.0,0.5,5,0.0,0.0
dns_an_73,0.0,0.0,0.5,5,0.0,0.0
dns_an_94,0.0,0.0,0.5,5,0.0,0.0
dns_an_74,0.0,0.0,0.5,5,0.0,0.0
dns_an_75,0.0,0.0,0.5,5,0.0,0.0
dns_an_76,0.0,0.0,0.5,5,0.0,0.0
dns_an_77,0.0,0.0,0.5,5,0.0,0.0
dns_an_78,0.0,0.0,0.5,5,0.0,0.0
dns_an_79,0.0,0.0,0.5,5,0.0,0.0
dns_an_80,0.0,0.0,0.5,5,0.0,0.0
dns_an_81,0.0,0.0,0.5,5,0.0,0.0
dns_an_82,0.0,0.0,0.5,5,0.0,0.0
dns_an_83,0.0,0.0,0.5,5,0.0,0.0
dns_an_84,0.0,0.0,0.5,5,0.0,0.0
dns_an_85,0.0,0.0,0.5,5,0.0,0.0
dns_an_93,0.0,0.0,0.5,5,0.0,0.0
dns_an_86,0.0,0.0,0.5,5,0.0,0.0
dns_an_92,0.0,0.0,0.5,5,0.0,0.0
dns_an_87,0.0,0.0,0.5,5,0.0,0.0
dns_an_88,0.0,0.0,0.5,5,0.0,0.0
dns_an_89,0.0,0.0,0.5,5,0.0,0.0
dns_an_97,0.0,0.0,0.5,5,0.0,0.0
dns_an_67,0.0,0.0,0.5,5,0.0,0.0
dns_an_66,0.0,0.0,0.5,5,0.0,0.0
dns_an_58,0.0,0.0,0.5,5,0.0,0.0
dns_an_106,0.0,0.0,0.5,5,0.0,0.0
dns_an_48,0.0,0.0,0.5,5,0.0,0.0
dns_an_49,0.0,0.0,0.5,5,0.0,0.0
dns_an_50,0.0,0.0,0.5,5,0.0,0.0
dns_an_51,0.0,0.0,0.5,5,0.0,0.0
dns_an_105,0.0,0.0,0.5,5,0.0,0.0
