model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestGini,0.9999755994900293,1.0,1.939016342163086,0.09905028343200684,157.4929130077362,1.939016342163086,0.09905028343200684,157.4929130077362,1,True,4
RandomForestEntr,0.9999694993625367,1.0,0.45900750160217285,0.04296398162841797,32.1825807094574,0.45900750160217285,0.04296398162841797,32.1825807094574,1,True,5
NeuralNetFastAI,0.9999694993625367,1.0,1.7849278450012207,0.10400032997131348,338.62371945381165,1.7849278450012207,0.10400032997131348,338.62371945381165,1,True,1
WeightedEnsemble_L2,0.9999694993625367,1.0,1.7928903102874756,0.1049964427947998,339.2265191078186,0.007962465286254883,0.0009961128234863281,0.602799654006958,2,True,7
LightGBMXT,0.9997681951552787,0.9998475144861239,0.4869539737701416,0.022001028060913086,16.511292934417725,0.4869539737701416,0.022001028060913086,16.511292934417725,1,True,2
LightGBM,0.9997681951552787,0.9998475144861239,0.48844218254089355,0.022002458572387695,16.70250630378723,0.48844218254089355,0.022002458572387695,16.70250630378723,1,True,3
CatBoost,0.9486369265117641,0.9495272949069838,0.10703754425048828,0.0110015869140625,8.457858324050903,0.10703754425048828,0.0110015869140625,8.457858324050903,1,True,6
