model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
NeuralNetTorch,0.9999688215917255,1.0,2.5404865741729736,0.054231882095336914,84.76100444793701,2.5404865741729736,0.054231882095336914,84.76100444793701,1,True,10
NeuralNetFastAI,0.9999647548428201,1.0,13.195607662200928,0.05272364616394043,97.03279829025269,13.195607662200928,0.05272364616394043,97.03279829025269,1,True,1
ExtraTreesEntr,0.9999606880939148,1.0,11.097655057907104,0.1496729850769043,12.371546745300293,11.097655057907104,0.1496729850769043,12.371546745300293,1,True,8
RandomForestGini,0.9999579769279778,1.0,10.98989224433899,0.10653424263000488,11.404625654220581,10.98989224433899,0.10653424263000488,11.404625654220581,1,True,4
ExtraTreesGini,0.999955265762041,1.0,11.594359874725342,0.11945986747741699,12.089966058731079,11.594359874725342,0.11945986747741699,12.089966058731079,1,True,7
RandomForestEntr,0.9999539101790725,1.0,11.05861496925354,0.10802173614501953,12.003825426101685,11.05861496925354,0.10802173614501953,12.003825426101685,1,True,5
XGBoost,0.9998468191245645,1.0,5.723281145095825,0.0272064208984375,6.299880504608154,5.723281145095825,0.0272064208984375,6.299880504608154,1,True,9
LightGBMLarge,0.9997939513887948,1.0,2.0041961669921875,0.010018110275268555,3.965576648712158,2.0041961669921875,0.010018110275268555,3.965576648712158,1,True,11
LightGBM,0.9997383724870881,1.0,2.963383197784424,0.012923717498779297,3.118091344833374,2.963383197784424,0.012923717498779297,3.118091344833374,1,True,3
LightGBMXT,0.9997383724870881,1.0,2.986919641494751,0.014000177383422852,3.208542585372925,2.986919641494751,0.014000177383422852,3.208542585372925,1,True,2
CatBoost,0.9997343057381827,1.0,1.1440751552581787,0.013056516647338867,19.334920644760132,1.1440751552581787,0.013056516647338867,19.334920644760132,1,True,6
WeightedEnsemble_L2,0.9997343057381827,1.0,1.1775221824645996,0.014031648635864258,20.118338346481323,0.0334470272064209,0.0009751319885253906,0.7834177017211914,2,True,12
