model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBM,0.9881565396498455,0.99,0.13723397254943848,0.03700137138366699,111.47387552261353,0.13723397254943848,0.03700137138366699,111.47387552261353,1,True,5
NeuralNetFastAI,0.9881565396498455,0.988,0.31789350509643555,0.07660841941833496,25.354133367538452,0.31789350509643555,0.07660841941833496,25.354133367538452,1,True,3
LightGBMXT,0.9878990731204943,0.989,0.15578174591064453,0.039999961853027344,97.94298982620239,0.15578174591064453,0.039999961853027344,97.94298982620239,1,True,4
WeightedEnsemble_L2,0.9878990731204943,0.991,1.374920129776001,0.26944422721862793,112.5396797657013,0.0029973983764648438,0.0005059242248535156,0.46358323097229004,2,True,9
CatBoost,0.977600411946447,0.978,0.16606616973876953,0.04471445083618164,307.7091393470764,0.16606616973876953,0.04471445083618164,307.7091393470764,1,True,8
RandomForestGini,0.9709062821833162,0.971,0.3081324100494385,0.1958019733428955,17.26604676246643,0.3081324100494385,0.1958019733428955,17.26604676246643,1,True,6
RandomForestEntr,0.969361483007209,0.967,0.24082231521606445,0.09399819374084473,19.49604868888855,0.24082231521606445,0.09399819374084473,19.49604868888855,1,True,7
KNeighborsDist,0.9199279093717817,0.923,1.2346887588500977,0.23193693161010742,0.6022210121154785,1.2346887588500977,0.23193693161010742,0.6022210121154785,1,True,2
KNeighborsUnif,0.8102471678681772,0.841,1.1019117832183838,0.3439595699310303,0.6060738563537598,1.1019117832183838,0.3439595699310303,0.6060738563537598,1,True,1
