model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
CatBoost,0.998980848077352,1.0,1.0433971881866455,0.01577615737915039,15.7834792137146,1.0433971881866455,0.01577615737915039,15.7834792137146,1,True,6
LightGBMXT,0.9989623628550549,1.0,5.846834659576416,0.010081291198730469,1.6866018772125244,5.846834659576416,0.010081291198730469,1.6866018772125244,1,True,2
LightGBM,0.9989623628550549,1.0,6.86971116065979,0.009054422378540039,1.60483717918396,6.86971116065979,0.009054422378540039,1.60483717918396,1,True,3
RandomForestEntr,0.9988699367435693,0.998780487804878,9.737135410308838,0.07741379737854004,0.9337778091430664,9.737135410308838,0.07741379737854004,0.9337778091430664,1,True,5
XGBoost,0.9986283965055536,1.0,6.265838384628296,0.01215052604675293,2.070964813232422,6.265838384628296,0.01215052604675293,2.070964813232422,1,True,9
WeightedEnsemble_L2,0.9986283965055536,1.0,6.3108391761779785,0.013150215148925781,2.689415216445923,0.04500079154968262,0.0009996891021728516,0.618450403213501,2,True,12
ExtraTreesEntr,0.9986037495424908,0.998780487804878,10.925819158554077,0.07710552215576172,0.9773826599121094,10.925819158554077,0.07710552215576172,0.9773826599121094,1,True,8
RandomForestGini,0.9983412593858716,0.998780487804878,11.397737503051758,0.12411785125732422,1.2246184349060059,11.397737503051758,0.12411785125732422,1.2246184349060059,1,True,4
ExtraTreesGini,0.9980504252217303,0.998780487804878,9.989018678665161,0.1514894962310791,0.9230883121490479,9.989018678665161,0.1514894962310791,0.9230883121490479,1,True,7
LightGBMLarge,0.9979432109324069,0.9975609756097561,2.1924853324890137,0.005070209503173828,4.369316339492798,2.1924853324890137,0.005070209503173828,4.369316339492798,1,True,11
NeuralNetFastAI,0.9972949958038545,1.0,13.721965551376343,0.024999618530273438,9.658532619476318,13.721965551376343,0.024999618530273438,9.658532619476318,1,True,1
NeuralNetTorch,0.9949079374312195,0.9975609756097561,3.386033296585083,0.005047321319580078,21.760579586029053,3.386033296585083,0.005047321319580078,21.760579586029053,1,True,10
